month,company,unique_job_postings_found
2026-07,Montgomery County Public Schools,146
2026-07,Sunrise Senior Living,18
2026-07,Trinity Health,16
2026-07,Care.com,16
2026-07,Adventist HealthCare,13
2026-07,Coca Cola,11
2026-07,Actalent,11
2026-07,Whole Foods Market,10
2026-07,Allied Universal,10
2026-07,Montgomery County Government,9
2026-07,Montgomery College,9
2026-07,Leidos,9
2026-07,Aldi,9
2026-07,Starbucks,8
2026-07,MedStar Health,8
2026-07,Five Below,8
2026-07,Aramark,8
2026-07,Walmart,7
2026-07,Pizza Hut,7
2026-07,National Institutes of Health,7
2026-07,DoorDash,7
2026-07,CVS Health,7
2026-07,AstraZeneca,7
2026-07,Wegmans Food Markets,6
2026-07,Sittercity.com,6
2026-07,"Marriott International, Inc",6
2026-07,Leonardo DRS,6
2026-07,Hospital Sisters Health System,6
2026-07,Giant Food,6
2026-07,ConsultNet Technology Services and Solutions,6
